"typography_heading-xs__jSwUz","link_internal__7XN06 href","typography_heading-xxs__QKBS8","typography_body-m__xgxZ_","typography_body-m__xgxZ_ 2","star-rating_starRating__4rrcf src","typography_body-m__xgxZ_ 3","link_internal__7XN06 href 2","typography_heading-s__f7029","typography_body-l__KUYFJ","typography_body-m__xgxZ_ 4","typography_body-m__xgxZ_ 8","typography_body-m__xgxZ_ 9","typography_body-m__xgxZ_ 10"
"","https://uk.trustpilot.com/users/5992e93d0000ff000abc0b90","Ellie","80 reviews","GB","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","9 May 2024","https://uk.trustpilot.com/reviews/663d31229f20105d59c5bf83","Did absolutely nothing","Did absolutely nothing! Such a waste of time! Did not sound genuine at all!","09 May 2024","Reply from Energy Ombudsman","15 May 2024","Hi Ellie, we're sorry to hear that you have not had a positive experience when using our services. Our team take great care in ensuring that all evidence and information is considered, and that the outcome is fair and reflective of the dispute. We are continuously looking for ways to improve our service so we appreciate you taking the time to share your feedback. If you have any questions or concerns, then please don't hesitate to contact us directly on 0330 440 1624 and a member of our team will be happy to help. Thank you"
"","https://uk.trustpilot.com/users/66351928595dcc00125ac4cc","Melvyn Bluck","2 reviews","GB","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","9 May 2024","https://uk.trustpilot.com/reviews/663cd175fb8c0360f17d7e4a","Do NOT bother to contact the Energy…","Do NOT bother to contact the Energy Ombudsman it is a complete waste of your time.You get an apology and £50  or £100.00.To a large Company such as Utility Warehouse this is like a small tick on a very large elephant","09 October 2023","Reply from Energy Ombudsman","Published 10 May 2024","Hi Melvyn, we're sorry that you haven't had a positive experience when using our services. All disputes are assessed on a case by case basis and the required remedies are reflective of the nature of the dispute. If you have any questions about how the resolution was reached then please don't hesitate to contact us on 0330 440 1624 and we will be more than happy to help. Thank you"
"CC","https://uk.trustpilot.com/users/663ca29dd5fa24e6930fd5ed","C C","2 reviews","GB","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","9 May 2024","https://uk.trustpilot.com/reviews/663ca2abad29dd4a5f7f4633","Two minutes 56 seconds is enough time…","Two minutes 56 seconds is enough time to make an informed decision on a contract!  £100 fine to Utility Bidder and letter of apology but contract is still valid for 3 years!","24 April 2024","Reply from Energy Ombudsman","10 May 2024","Hello, we're sorry that you haven't had a positive experience when using our services. Our team will have provided you with a detailed explanation as to how the decision was reached, but if you have any questions then please don't hesitate to contact us on 0330 440 1624, and we will be more than happy to help. Thank you"
"EM","https://uk.trustpilot.com/users/5dbb0d474803eb6134188ba7","E Maclean","8 reviews","GB","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-5.svg","8 May 2024","https://uk.trustpilot.com/reviews/663bac77fc2436afe625107e","Very professional","Very professional, kept me informed at every stage. After six months of trying to get a resolution from OVO, ombudsman did it in no time at all.","03 May 2024","Reply from Energy Ombudsman","10 May 2024","We are happy that we were able to help you reach a quick resolution to your dispute. Thank you for taking the time to leave us your review."
"QH","https://uk.trustpilot.com/users/60b9105f9110c3001a8f393b","Queens Hotel","13 reviews","GB","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-5.svg","8 May 2024","https://uk.trustpilot.com/reviews/663b9e70a69175b27479b6ae","Electric meter overcharge","Clear explanation of the dispute process, dealt with me in a courteous and understanding manner.","20 April 2024","Reply from Energy Ombudsman","10 May 2024","We're glad that we were able to help you! Thank you for your review."
"PM","https://uk.trustpilot.com/users/59c8b7de0000ff000acd2221","Phil Mahoney","5 reviews","GB","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-5.svg","8 May 2024","https://uk.trustpilot.com/reviews/663b74d505fc0ffef5bbccfa","Clear and accurate information at all…","Clear and accurate information at all steps in the process. If only other government departments (Quangos) we as good as this!","08 May 2024","Reply from Energy Ombudsman","10 May 2024","Hi Phil, we're glad to hear that you had a positive experience when using our services. Energy Ombudsman is actually a non profit organisation and we are not run by the government. Thank you"
"HO","https://uk.trustpilot.com/users/6103ce632605d40012ffe4b9","Hugh O'Beirne","2 reviews","GB","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-5.svg","8 May 2024","https://uk.trustpilot.com/reviews/663b6a3e60e85f19ca345455","Electricity billing","The Ombudsman service was excellent. Listened and got all the facts of a complex case. Great website where you can track progress after uploading all supporting documents. Individual case handler brilliant.","25 March 2024","Reply from Energy Ombudsman","10 May 2024","That's great to hear, Hugh! We're glad that we were able to help!"
"MA","https://uk.trustpilot.com/users/5dece4931ef7dc727edb2b94","mazza","15 reviews","GB","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","7 May 2024","https://uk.trustpilot.com/reviews/663a6993339331adceeca7dd","Energy ombudsman need investigating, abysmal service","Contacted the energy ombudsman about ongoing issues with british gas which i had been trying to resolve for months. The ombudsman cannot create a case until eight weeks after you have raised an official complaint with the company concerned. Absolutely absurd.The case as to be dealt with online via a portal that was difficult to use unless you are computer savvy so not ideal for everyone. The case handler did speak to me by phone to try and help, however their phone line was abysmal and i could barely understand a word they said so relaying information was virtually impossible. Months have passed and the handlers phone line is exactly the same.How can someone get paid to do a job supposedly to be helping the public when they cannot even be heard on the telephone. Several more weeks passed, the case handler reached a decision in my favour that i wasn't particularly happy with but couldn't cope with any more time wasting from neither british gas or the ombudsman. A date was set by which british gas should have implemented the decision that the case handler made. I was receiving letters/emails from british gas but nothing to do with the resolution. I emailed and rang the case handler raising concerns that British gas still did not have a clue what they were doing and that i wasn't confident that they would actually resolve things as instructed. I was advised i had to wait until the date set before anything could be done.As i predicted the date as passed and british gas did not abide by the case makers decision. I telephoned and emailed the case handler to inform them on 29th April 2024. Their voicemail says they will respond within 24hrs. No surprise i am still waiting. I spent hours on the telephone to british gas last week to no avail. Promised call backs which havn't happened. As for the ombudsman i don't know whether the staff are just pig ignorant with regards to returning calls or clearly just not interested as they get paid regardless!The ombudsman is as equally incompetent as british gas with little regard for the consumer and actually need investigating themselves. Anyone thinking of contacting the ombudsman don't bother, save yourselves the stress.","07 May 2024","Reply from Energy Ombudsman","10 May 2024","Hello, we're sorry that you haven't had a positive experience when using our services. I have passed your feedback over to the team who have been handling your dispute so that they can review your feedback and contact you with an update. Thank you"
"","https://uk.trustpilot.com/users/663a05a011f4270012b13c68","Dave Cummins","1 review","GB","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-5.svg","7 May 2024","https://uk.trustpilot.com/reviews/663a05ab05b44b2adfd7afac","Advisor and reception where really…energy issue","Advisor and reception where really helpful my issue started October 2023.","24 October 2023","Reply from Energy Ombudsman","7 May 2024","That's great to hear, Dave! Always happy to help!"
"","https://uk.trustpilot.com/users/663a00f0ee0a950013a017fb","Ronald Aitchison","1 review","GB","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-5.svg","7 May 2024","https://uk.trustpilot.com/reviews/663a00ffadfd0c522cf726c0","They offered their help in a clear and…","They offered their help in a clear and straightforward way. and made it reasonable comfortable to complete the process. I dealt with them online, so I cannot comment on how it works for those without internet access","02 May 2024","Reply from Energy Ombudsman","7 May 2024","That's great to hear, Ronald. We are glad that our team were able to help you resolve your dispute."
"JP","https://uk.trustpilot.com/users/61602ffcf628a50012c7d8e2","Julie Pamphilion","10 reviews","GB","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-5.svg","6 May 2024","https://uk.trustpilot.com/reviews/663826d18bd303ecdb3fc25d","Professional service helpful adviser I…","Professional service helpful adviser I was given clear information and updated on the process at all times","26 April 2024","Reply from Energy Ombudsman","7 May 2024","Hi Julie, that's great to hear! We're glad we were able to help you reach a positive outcome to your dispute."
"CL","https://uk.trustpilot.com/users/63c83fc190137b0011f0d6a6","Clematis","6 reviews","GB","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-5.svg","4 May 2024","https://uk.trustpilot.com/reviews/6636018ded3aaa466e9ea06a","Ombudsman is the best place to get help.","Really good advisor assigned to our case. Fast review of the evidence and kept us up to date with the case by phone and email as things progressed. Very pleased with the outcome. Website is a little clunky but it’s worth persisting and the staff are always very helpful. Even if it’s just a few pounds, the electricity companies should not be conveniently taking money they are not owed and the Ombudsman is the best place to get help.","04 May 2024","Reply from Energy Ombudsman","7 May 2024","Hello, thank you for taking the time to share your experience of using our services. We are continuously looking for ways to improve our services, so your feedback regarding our website is really important in helping us do that. Thank you"
